Sample_ID	Region	Length (bp)	E[DoC]	BoC	Genome DoC	Type
NMW_005	R2	205	1.371	0.771	1.04	W
NMW_005	R3	245	0.865	0.71	1.04	W
NMW_005	R4	300	0.797	0.527	1.04	W
NMW_005	R5	230	0.639	0.517	1.04	W
OL4029	R1	80	0	0	0.1	D
OL4029	R2	205	0.39	0.39	0.1	D
OL4029	R3	245	0.363	0.363	0.1	D
OL4029	R4	300	0.203	0.203	0.1	D
OL4029	R5	230	0	0	0.1	D
OL4061	R1	80	0.487	0.488	1.8	D
OL4061	R2	205	3.424	1	1.8	D
OL4061	R3	245	3.539	0.812	1.8	D
OL4061	R4	300	1.953	0.69	1.8	D
OL4061	R5	230	1.904	0.63	1.8	D
OL4222	R1	80	1.238	0.838	4.5	D
OL4222	R2	205	2.849	0.99	4.5	D
OL4222	R3	245	3.282	1	4.5	D
OL4222	R4	300	1.923	0.83	4.5	D
OL4222	R5	230	1.113	0.678	4.5	D
OL4223	R1	80	1.5	0.613	2.2	D
OL4223	R2	205	0.932	0.22	2.2	D
OL4223	R3	245	2.086	0.771	2.2	D
OL4223	R4	300	2.477	0.913	2.2	D
OL4223	R5	230	3.391	0.857	2.2	D
PDM100	R1	80	0	0	0.09	W
PDM100	R2	205	0	0	0.09	W
PDM100	R3	245	0	0	0.09	W
PDM100	R4	300	0	0	0.09	W
PDM100	R5	230	0	0	0.09	W
PON012	R1	80	2.038	0.838	2.4	W
PON012	R2	205	3.971	0.932	2.4	W
PON012	R3	245	2.641	0.808	2.4	W
PON012	R4	300	2.763	0.933	2.4	W
PON012	R5	230	5.791	0.726	2.4	W
ptw	R1	80	26.037	1	27.8	W
ptw	R2	205	5.722	0.937	27.8	W
ptw	R3	245	14.91	1	27.8	W
ptw	R4	300	20.373	1	27.8	W
ptw	R5	230	9.822	0.943	27.8	W
rwa	R1	80	26.375	1	28.5	W
rwa	R2	205	6.966	0.566	28.5	W
rwa	R3	245	8.429	0.865	28.5	W
rwa	R4	300	3.22	0.72	28.5	W
rwa	R5	230	4.2	0.665	28.5	W
rwb	R1	80	9.137	0.988	7.1	W
rwb	R2	205	0.82	0.351	7.1	W
rwb	R3	245	1.351	0.645	7.1	W
rwb	R4	300	1.763	0.78	7.1	W
rwb	R5	230	1.561	0.791	7.1	W
SC1061	R1	80	13.312	1	17.5	D
SC1061	R2	205	23.161	1	17.5	D
SC1061	R3	245	25.645	1	17.5	D
SC1061	R4	300	17.39	0.9	17.5	D
SC1061	R5	230	19.93	1	17.5	D
SC19.MCJ010	R1	80	2.212	0.887	3.07	W
SC19.MCJ010	R2	205	2.229	1	3.07	W
SC19.MCJ010	R3	245	1.967	0.682	3.07	W
SC19.MCJ010	R4	300	2.473	0.607	3.07	W
SC19.MCJ010	R5	230	2.752	0.678	3.07	W
SC19.MCJ014	R1	80	1.425	0.95	1.07	W
SC19.MCJ014	R2	205	1.922	0.668	1.07	W
SC19.MCJ014	R3	245	1.641	0.502	1.07	W
SC19.MCJ014	R4	300	0.16	0.16	1.07	W
SC19.MCJ014	R5	230	1.457	0.687	1.07	W
SC19.MCJ015	R1	80	2.25	0.75	2.32	W
SC19.MCJ015	R2	205	0.424	0.424	2.32	W
SC19.MCJ015	R3	245	2.098	0.845	2.32	W
SC19.MCJ015	R4	300	2.52	0.62	2.32	W
SC19.MCJ015	R5	230	2.152	0.887	2.32	W
SC19.MCJ017	R1	80	0	0	0.48	W
SC19.MCJ017	R2	205	0.58	0.434	0.48	W
SC19.MCJ017	R3	245	0.702	0.506	0.48	W
SC19.MCJ017	R4	300	0.397	0.293	0.48	W
SC19.MCJ017	R5	230	0.878	0.561	0.48	W
SOTN01	R1	80	12.012	0.963	11.2	D
SOTN01	R2	205	9.288	1	11.2	D
SOTN01	R3	245	14.416	1	11.2	D
SOTN01	R4	300	6.127	0.893	11.2	D
SOTN01	R5	230	10.696	0.891	11.2	D
Taimyr-1	R1	80	0	0	2.9	W
Taimyr-1	R2	205	0.063	0.063	2.9	W
Taimyr-1	R3	245	0.233	0.167	2.9	W
Taimyr-1	R4	300	0.027	0.027	2.9	W
Taimyr-1	R5	230	0	0	2.9	W
TGEZ06	R1	80	0.412	0.412	0.9	D
TGEZ06	R2	205	0.771	0.61	0.9	D
TGEZ06	R3	245	0.833	0.629	0.9	D
TGEZ06	R4	300	1.373	0.837	0.9	D
TGEZ06	R5	230	1.3	0.687	0.9	D
THRZ02	R1	80	0.412	0.412	0.1	D
THRZ02	R2	205	0.39	0.39	0.1	D
THRZ02	R3	245	0.298	0.298	0.1	D
THRZ02	R4	300	0.403	0.403	0.1	D
THRZ02	R5	230	0	0	0.1	D
TU144	R1	80	0	0	0.92	W
TU144	R2	205	0	0	0.92	W
TU144	R3	245	0	0	0.92	W
TU144	R4	300	0.12	0.12	0.92	W
TU144	R5	230	0.039	0.039	0.92	W
TU148	R1	80	0.625	0.625	0.36	W
TU148	R2	205	0	0	0.36	W
TU148	R3	245	0	0	0.36	W
TU148	R4	300	0.06	0.06	0.36	W
TU148	R5	230	0	0	0.36	W
TU839	R1	80	0.512	0.425	0.6	W
TU839	R2	205	0.19	0.19	0.6	W
TU839	R3	245	0.335	0.31	0.6	W
TU839	R4	300	0.163	0.163	0.6	W
TU839	R5	230	0.265	0.265	0.6	W
TU840	R1	80	0	0	1.1	W
TU840	R2	205	1.263	0.776	1.1	W
TU840	R3	245	0.922	0.588	1.1	W
TU840	R4	300	1.137	0.623	1.1	W
TU840	R5	230	0.639	0.509	1.1	W
Tumat	R1	80	4.325	0.975	5.16	W
Tumat	R2	205	4.976	1	5.16	W
Tumat	R3	245	5.527	1	5.16	W
Tumat	R4	300	2.007	0.707	5.16	W
Tumat	R5	230	4.2	0.683	5.16	W
UZAA01	R1	80	4.1	1	5.5	D
UZAA01	R2	205	4.439	1	5.5	D
UZAA01	R3	245	6.559	1	5.5	D
UZAA01	R4	300	3.773	0.87	5.5	D
UZAA01	R5	230	3.8	0.765	5.5	D
UZAA02	R1	80	2.825	0.575	5.8	D
UZAA02	R2	205	5.005	1	5.8	D
UZAA02	R3	245	5.139	0.91	5.8	D
UZAA02	R4	300	4.28	0.99	5.8	D
UZAA02	R5	230	2.704	0.991	5.8	D
VAL_005	R1	80	0.613	0.512	0.77	W
VAL_005	R2	205	1.439	0.702	0.77	W
VAL_005	R3	245	1.698	0.392	0.77	W
VAL_005	R4	300	0.443	0.347	0.77	W
VAL_005	R5	230	0.935	0.535	0.77	W
VAL_008	R1	80	1.613	0.55	1.91	W
VAL_008	R2	205	1.668	0.941	1.91	W
VAL_008	R3	245	1.502	0.914	1.91	W
